line_number,text,emotion_label
2679,sợ thật,3
26129,ối dồi ôi fpt shop cháy tới đó mệt_á,2
20113,xem mà khóc thương_k chịu dc,2
17380,đàn_bà sống thọ hơn đàn_ông là vậy k,0
18200,cô ấy già đi nhiều quá vẫn nhớ ảnh chụp cô lúc báo mới đăng con cô mất,2
15590,cảm_ơn vì đã làm mình nhớ đến những người yêu_thương,0
16430,cut ra cả quần,0
26921,xem mà kg sợ mà cái thằng nó nói jóng con gái thật_sự sợ thế sợ thế vãi,3
9518,quê là quê chúng_mình t cười_sảng,0
28037,sợ vãi,3
10717,pik gà luộc hồng đào ăn cứ ương_ương dở_dở nên bị v chứ ko s đâu,4
22136,khói bay mờ_ảo như cái tên của cái nhà_nghỉ bên cạnh,0
4804,xui vậy,2
4746,đăng thịnh chẹm,4
13413,lên núi ở suốt đời,0
40,có_khi cố_tình để lấy số,4
23019,sao đội cứu_hỏa đến lại ko phun nước chứ còn liên_quan những nhà bên cạnh nữa mà,1
27154,chiếc xe_máy kiểu tao làm gì tụi m thiêu tao,1
20763,ở đâu thế ak,4
22607,trời ơi cái nhà bên cạnh,3
16603,50 ki,0
11276,nguyen306,4
20357,sao k gọi cứu hỏa à,3
13584,bản_chất,4
21408,thằng chủ khách_sạn kiểu tại_sao tao phải sống kế bên cái này chứ,1
19285,thương chị mà mức án cho các bị_cáo quá nhẹ,2
9441,lóc_chóc,0
24233,4 năm trc bản_thân đã bị trong hoàn_cảnh đó thật_sự rất đáng sợ,3
19596,đau_lòng thật_sự,2
26911,hi,0
2183,ai mà biết trên hung_khí có bôi gì lên không trời,3
3802,thoi nay lam sau mà biet duoc chuyen gi_nua,2
7958,nói ra ông này thương_vk phết nhỉ,0
1940,pkqt 21 h_loạn qá vậy,1
6228,thủ_đô hanoi thì khoa có thât giờ hanoi_mênh mang biết hanoi mấy cơ_bản đi ngoài đường cứ cầm cái đt là con gái yếu_đuối nó bám theo hãy cẩn_thận,1
19131,rồi mẹ cô gái đã mất hẳn là đau_lòng gấp 1000 lần,2
25676,ko hiểu sao ngoài đó nó sống kiểu gì mà thấy nhà người ta cháy tính_mạng thì mong_manh mà bọn nó chả ai tới cứu nhỉ,2
1305,nguyễn,4
8141,cho mấy đứa trà xanh mở to mắt,1
23613,ở đâu vậy bạn,4
27495,sợ v,3
8109,quá đinhr,1
4030,nhiên boutique,4
7595,tôi không trách đàn_ông ngoại_tình tôi chỉ trách bé 3 đòi_hỏi ck người ta là của mình,2
21163,vừaxem him qua,0
24367,ở đâu vậy,2
10543,wonder of you,2
25173,ở đâu vậy anh ơi,4
16863,luh wuh,4
940,nè nhà tên nhi,0
6848,dù về củ_chi sau_này nhưng vẩn tự_hào là dân củ chi,0
18477,là t cũng ko_thể chịu_đựng đc con là tất_cả,2
5024,sợ nó truyền bệnh nguy_hiểm cho người ta,3
20561,còn cái nịt,0
23501,ghê quá bx coi pha cuối,1
19638,thật là_lạ sao hỏa_hoan như_vậy mấy người này không no giúp mà_lại ở đó chuyện_trò cười đùa_vậy không thấy gọi ku hoa và sở điện cúp_điện gì cả,2
4193,chài ai,1
21804,sợ thiệt,3
7044,đánh thì gian_khổ nguy_hiểm đánh giữa lòng địch hy_sinh ko_kém nhưng bây_h cứ có cái j thì đám hậu_sinh lại vơ hết chiến_công về đâu_đó,1
25939,cho mk hỏi đoạn này là chỗ nào z ạ,4
403,nó lam nhiệm_vụ vào ms13 hay gi đó,0
27447,xe cứu hỏa keu to lắm nhưng đến lâu vậy,4
255,đồ ngon quá mà,0
336,bắt ngay,1
19703,2 cái khách ko kinh_doanh đc mà_còn cháy fpt mô phật,1
5827,thg này trong nam chắc luôn mới ra hanoi hành_nghề,4
15941,nguy_hiểm quá,3
17599,ôi quá đau_thương,2
17261,ngoc,4
26688,thương_tâm qua đi ạ,2
17440,sao trường_hợp này thì lại k phạt nặng,1
27735,nhìn sợ quá,3
24121,mấy chiếc xe_máy kia mn sợ quá bỏ chạy vứt lun à,3
21822,coi di,4
6840,cảm_ơn sự hy_sinh của những chiến_sĩ để đất_nước ta có được nền hòa bình ngày hôm_nay họ khom lưng đi trong bóng_tối để lớp con_em được đứng dậy đi trong ánh_sáng,0
14287,chắc chuyến này tao bỏ nghề luôn bây ơi,2
14169,tim để miễn_nhiễm tất_cả trong bl,0
19708,chia buồn cùng gia_đình,2
6542,a cũng chui vừa xuống dưới địa_đạo hả a_tiến,0
10771,yên cho em yêu anh đẹp phú_nhuận mu kê,0
13606,ghét mấy thành_phần này ra đừng ngta nhìn thì s,1
13442,và công tôn sách m nhìn đểu bố m à,1
19217,xử_phạt cao nhất,1
16476,phát cuối trúng chân chảy_máu,3
22921,cầu mong_k thiệt_hại về người,3
5008,relaxation ghê quá zị a ơi,3
10286,quê lầm 2,1
12434,hướng nội hết phần đời còn lại,2
5116,gwen à,4
11856,đểu cái mắt bọn m ấy mắt để nhìn đường chứ nhìn bọn m đâu,1
17840,cho mik hỏi vs xem phỏng_vấn ở đâu v ạ mik k bt nên hỏi,4
19700,r may_nha ke ben nuq bik cháy ai đền nhỉ,1
13764,quê 1 cục,0
26421,ở đâu vậy,4
3415,đồng_thời phải xem_xét cơ_quan thẩm_quyền thời_điểm có trách_nhiệm ko,4
332,ha,4
22744,sợ quá,3
13891,nhục_nhã vô_cùng tận,1
27667,cho mình hỏi là cháy ở đâu thế ạ,4
28263,vòi rồng phun được mấy chục mét mà cứu hỏa ko chịu phun là sao,1
12025,con nich ranh anh_hùng dữ trua,1
16006,t mn ơi,2
20110,e nghe chj nào nói cứu_hộ chừng nào đợi cháy hết mới tới chắc_biến cái tới liền đi trên đường chạy nhanh_r gặp mấy đứa chạy xe k biết nhường r chừng,1
19127,đối_với chúng_nó đi tòo cũng là 1 loại chiến_tích để khoe khoang,1
4639,sợ thật,3
8544,k được bắt_a bỏ vợ nha_nha,2
12641,hơi phụ_nữ táo_bón gặp báo_thủ,1
3278,thony sợ v,3
10092,vậy rốt_cuộc là bố nó là ai mn,1
17686,không nên cho cơ_hội tái_hòa nhập cộng_đồng nhìn vậy chứ cho cơ_hội lại thêm nạn_nhân khác,1
9385,love english há há,0
18885,biết dân nào luôn,1
12778,không đi tim bố ah,1
5017,vs chả cá fram_cộng hòa bị tóm_nhá,1
12034,ngang bố đời,1
4960,ôi trời ơi thấy em_trai bị mà xót,2
26804,trời ơi đã khổ rồi còn khổ thêm tội quá,2
15896,tưởng al,4
18378,ko phải nói gì chứ lỗi lớn nhất là những người làm cha làm mẹ_con_cái chưa đủ tuổi đã giao xe cho chúng đi rồi gây tngt pháp_luật cũng cần phải xử_lý thật nghiêm_minh,1
1106,thương,2
24979,phút_chốc mất yats cả,2
3183,cho_dù dừng đèn_đỏ cũng phải chú_ý chứ đang o ngoài đường mà cấm đầu bấm dt phải_chi chú_ý thấy nó lao thẳng vào mình là đâu đến nổi,1
18089,sao k ai trách tụi kia tại nó mà lm cho xh bị khổ_đau mà_lại đi bảo_ngta bỏ_qua z riết thấy một_số ng cứ dung_túng cho3cais sai_luận biển cho cái sai,1
19172,cho đi hết khóc_lóc cái nổi gì không bãi_nại gì hết,2
20503,hài_vãi ms dừa_côi bên youtube sông cái qua đây lại thấy đầu_tiên luôn chứ thật là trùng hộp,0
4222,cần lắm những hình_phạt thật nặng từ pháp_luật đối_với những kẻ nguy_hiểm gây hại cho xã_hội,1
6215,dã_man ngõ nhà tao,0
5056,cầu_mong em_trai bị_thương sẽ được bình_an và chúc em luôn có nhiều sức khỏe một đời bình_an,0
11116,tao cũng bị mấy thg hay hỏi ntn lắm như cn toàn bị tao đấm ngược,1
21212,ủa anh ơi vậy ko có ai cứu giùng hả anh,3
1023,hạng đg đứng mờ nó làm dày thâu ó,1
18826,gia_đình ngta quên rồi để chìm đi moi lên ngi nhà xem đc buồn bọn báo đói lắm rồi,2
4641,sợ luôn,3
4075,xã_hội bây_giờ sợ quá,3
8385,cj vợ ở nhà ngồi 1 gốc cười hả_hơi,0
4086,trọng_phúc ẩn thận nha,4
21901,sợ quá,3
24022,sợ nhất là cháy nhà ko còn gì hết nghèo luôn,3
11896,tôi là gì nào,4
28496,như sapa_ý nhờ,4
4188,shaco,0
26152,phong_trào chửa cháy giỏi lắm mà sao k huy_động tới phòng chửa cho nó khỏi cháy lan ra nhà khác,1
9876,sợ nhất đang đi đường nhìn thẳng nó bảo nhìn đểu thì chịu rồi,3
381,bắt luôn ròi ở đó mà ko_động vào dc đâu,1
5372,chắc ôg bị thất_tình hay sao đó nhờ,2
17929,tưởng nhỏ đeo kính là con bả,1
14724,toán yeu mình toán_hình matcha_giò tí nữa có án_mạng,2
22159,nam mô_a di_đà phật nam mô_a di_đà phật nam mô_a di_đà phật,0
27224,gê quâ,0
25064,ở đâu vậy ạ,4
25955,eo ơi_tội quá,2
3607,chắc cũng hơn chục năm,0
16018,vui quá,0
19259,buồn quá,2
1760,thấy ghê chưa,3
795,khổ chưa,2
219,mốt t khỏi đi đâu t ở nhà,4
23736,cu hoa dau,2
9291,tưởng ngầu nhưng ko,1
13423,hay ha,0
17099,khúc cuối dô cái chân chảy_máu thì phải,2
17754,gần 20 năm ngày a_trai tui bị ngta lao vào rồi cũng ra đi đột_ngột như em ấy đến h tui vẫn chẳng bao_h quên_thương cô ấy nỗi đau này biết bao_giờ đã nguôi_ngoai,2
16001,nể cái_là vẫn không buôn cái cưa,1
9705,lêu lêu,0
11954,cái này gọi là quả báo tới tức_thì,0
4782,ngoan,0
10578,rồi 2 cái nón lấy đâu ra dỉ trấn_lột của mấy e học_sinh à,1
4080,hay la_cà sợ,3
18904,tao xem_ra tù_loại bụi_đời chúng_mày có dám nữa không,1
23990,nhà bên cạnh ngồi_niệm phật,2
5657,tưởng hà_nội ko có cướp,3
2716,c a_ko mang theo cồng_số 8,4
25812,sao đoạn chữa_cháy ko quyay,1
26749,khác gì nổ mìn đâu,3
14247,diễn tấm cám đỉnh,0
15048,cuoi nhung buon,2
27590,may quá người khôg_sao nhìn sợ quá tr ạ,3
1364,xào chua ngọt,4
2925,dụ này gần nhà t nè,4
19763,kế bên đó mà là trạm xăng hay công_ty sản_xuất giấy vệ_sinh là sẽ có câu truyện khác,4
19749,xem xong clip các bạn có rút ra đc bài_học gì ko không bao_giờ ở cạnh nhà bán gas,4
25075,ở đâu đấy mọi người,4
25642,2 khách_sạn 2 bên v,4
17890,trách ai bây_giờ,2
28431,khổ thân,2
26696,trơi ơ tôi nghiêp qua nam mô_a di_đa phât,4
19348,mọi lỗi_lầm đều phải trả_giá,2
1363,bắt_giữ ngay,1
14865,ai cười ở lại lớp mà ko tim,2
7207,mấy em b3 nên xem được video này,0
26397,vo thi ngọc_ngan 98,4
23617,mê,0
20558,ở đâu z,4
957,hiếu bà ơi cẩn_thận nge,3
21292,tội quá mày,2
23524,nhìn hãi_hùng quá,3
16134,cưa ngay gốc cho lành vườn rộng mà thoải_mái kéo,1
22506,cái xe_máy gần đó xót quá đi,2
3008,chưa chết đc đâu có choáng cũng phải 15 p mất máu mới choáng 15 p đó cho thằng kia đi cùng đc,1
14640,nguy_hiểm quá,3
8096,trả xanh đầu đội lông gà mà cứ nghĩ mình là phượng_hoàng bản_thân là công_công cứ nghĩ mình là hoàng_thượng_thích nạp yêu phi,1
25757,nhanh_trí chạy tới gần quay cho rỏ,0
23330,nhìn xót_xa quá,2
10973,hướng nội đến hết phần đời còn lại,2
15191,làm z trên trễn v,1
13320,gặp nhằm người thì kiếp sau làm lại,2
15262,trời nguy_hiểm vãi,3
1150,nhân_vật này mà ở ngoài xã_hội rất nguy_hiểm,3
18257,phải làm nghiêm_minh noi_gương cho đời sau từ khi làm tốt quái_xế đở hẳn,4
15665,“ tôi đã phải dừng video này lại vì không_thể ngừng cười ”,0
20748,gọi 114 đi bạn đừng đứng quay video và nói này nọ,3
18403,vào đọc bình_luận nhiều cái thấy mà lạnh_lòng sao lại cmt_bênh lũ đó đc vậy trời,2
4438,riết xh giờ ghê quá,1
661,khổ thân,2
26752,cưu hoa đau hết rồi,2
7255,sợ bồ_công_khai vợ biết bồ_bắt ctay vợ thì tiện tay cả nước biết,3
23136,cháy nổ xong mấy anh tới nhập_lựa vẫn còn kịp,1
4948,nó chơi gta à,4
20451,nhà cháy là lúc mấy bà tám hành_động,0
281,t,4
16491,trúng chân rồi,3
27589,kh ai thấy thương cho tài_sản bị mất của gia_đình kia_mà cười cợt làm jokes về mấy nhà bên cạnh chán,2
