line_number,text,emotion_label
2,thằng này em_trai của gwen k_động vào đc đâu,4
3,gwen là thằng nào,4
4,rồi lý_do là gì,4
5,các bạn hiểu vì sao dính tới ma_túi là án rất nặng rồi chứ,3
6,may ko gặp gwen đó,0
7,trc khi bỏ đi hắn nói to cái j thế ạ nge 10 lần vẫn k nge rõ lun,4
8,sao anh bạn dừng đèn_đỏ ở vi_trí giữa đường v,1
9,muốn xem tiếp phần 2,4
10,tim để gia_đình mạnh khỏe,0
11,why,4
12,thằng này em_trai của gwen k_động vào đc đâu,4
13,trc khi bỏ đi nó nói gì v mng nghe cỡ 10 lần k nghe rõ,4
14,hu t sợ cây kéo đó nhiều bệnh lây qua đường_máu lắm,3
15,công_an việt_nam giỏi thiệt_bắt đúng lẹ luôn,0
16,mai mốt ra đường dừng đèn_đỏ chắc mặc áo_giáp qua mấy cha,1
17,trường con nói đúng thật sợ nhất những thằng âm_thầm đến làm cái đi luôn,3
18,quá nguy_hiểm cho người_dân vô_tội,3
19,rồi thanh_niên 22 t sao r mn,4
20,tội_nghiệp nhỏ hết hồn luôn,3
21,tim để gia_đình hạnh_phúc bình_an,0
22,may cho em_trai có mang balo trên lưng,0
23,tim để gia_đình hạnh_phúc bình_an,0
24,gwen là thằng nào,4
25,ụa nó bị gì v,4
26,giọng cali thì phải,4
27,không biết mn sao chứ g ra đường mà có ng tiến_sát lại là t đề_phòng phản_ứng ngay nhiều khi bị quê cả chục lần nhưng thà vậy vẫn hơn,3
28,probably a_gang initiation to prove themselves,4
29,sau ra đường chắc mang theo áo_giáp quá,3
30,nghe mấy thằng “ yêu nước online ” bảo vn an_toàn lắm,2
31,nó nói gì thêd,4
32,anh tùng bảo_trọng_chúc anh may_mắn,0
33,quá nhẹ_tay với tội_phạm,1
34,đây là lý_do tôi k bao g dừng đèn_đỏ,0
35,từ nay ra đường không nên dừng đèn_đỏ nha mng,4
36,sợ quá hủy vé bay đến cần thơ ngày lễ 30 4 rồi đi chỗ khác chứ đi cần thơ là không giữ được mạng,3
37,tộc cối ở cần thơ nhiều lắm,4
38,học_trò gwen,4
39,hết dám đi chơi,2
40,có_khi cố_tình để lấy số,4
