line_number,text,emotion_label
19365,8 năm 6 tháng quá ít,2
8448,mấy con baby 3 xem đi rồi tém tém lại nhé,0
13178,phì_cười với mấy thg e,0
724,nghỉ ra đường,4
21165,mong gia_đình an_toàn mong_chóng khỏe mạnh sớm ạ,0
2963,ngta có làm j đâu s hay kiếm chuyện v tr,1
3373,om ma ni bad me hum,2
28496,như sapa_ý nhờ,4
13402,cắn yếu liếm mạnh,1
5685,lên báo có video thì k lọt hố đc đâu ở hn k để cướp kiểu này sảy ra đâu,4
24572,cứu hỏa đi nhậu hết rồi,1
1182,loại này nguy_hiểm quá,3
27237,của đi thay người a_di_đà phật,2
16779,tí nữa thì đắp mộ cuộc tình,0
2177,thời_buổi bây_giờ k như xưa đâu_cam khắp_nơi muốn lấy số thì cho cái số 8 luôn bây_giờ các giang_hồ mạng còn phải dè_chừng nữa chứ đừng nói muốn lấy số,4
17567,nge mà khóe mắt cay_cay,2
4862,dừng đèn_đỏ cũng không yên,3
4368,thương vậy trời,2
3415,đồng_thời phải xem_xét cơ_quan thẩm_quyền thời_điểm có trách_nhiệm ko,4
28697,tội khách_sạn kế bên,0
13269,hình_như chộm dk cái mũ,4
6113,giàu thì đổi tên b cẩn_thận k cướp luôn máy_bay_phản_lực,1
3802,thoi nay lam sau mà biet duoc chuyen gi_nua,2
5867,rồi có tóm_đc chưa,4
3207,tốt nhất là đi xét_nghiệm máu cho chắc,4
22277,cho e_hỏi ở đâu pị khi nào ạ,4
15528,m xui â,1
5117,nguy_hiểm thật,3
26148,cháy nhà bán gas,1
23157,cứu hỏa đâu,3
9131,nghiệp,2
26723,fpt shop vs khách_sạn kiểu chắc tao kí đầu mày quá,1
2422,trong nam toàn lừa_đảo với mấy vụ như này,1
19169,nam mô_a di_đà phật,0
8478,có thật luôn ah,4
3516,ối rồi ôi,2
17216,còn k bỏ cái cưa ra,1
16073,mấy ông kia kéo mạnh quá,1
5827,thg này trong nam chắc luôn mới ra hanoi hành_nghề,4
26749,khác gì nổ mìn đâu,3
7019,bây_giờ đi có đèn có lổ quạt thông_khí mà khó thở vậy_mà cha_ông ngày_xưa chịu được chưa tính bom_đạn đủ kiểu,2
24271,chỗ trọ anh có bình gas nhớ cẩn_thận chú_ý đấy,4
4331,những vụ như_vậy ko 1 đứa nào lên phân_biệt vùng_miền miền bắc mà có cái là có đứa chớp thời_cơ vào ngứa tay ngay xã_hội thì ở đâu chả chả vậy nên đừng ai bảo “ chỉ có miền bắc ” nhé,1
27882,sợ thật,3
26054,cháy cái xe_máy lùn,1
7514,nhờn với cậu à,1
22787,đây là số_phận sau khi bán ga,4
15930,khéo cả họ ra rung cây để dọa tấm tâm_bở trên cây hú_hồn chim yén,3
23161,vừa coi ở fb xong thấy thương,2
21748,vãi,1
4679,sợ nhất là bị đâm với bị gãy xương,3
27902,chia buồn,2
20558,ở đâu z,4
7346,bà vợ có phước ngàn đời,0
1216,tội anh nạn_nhân quá ghười đàn_ông bị bắt là đán,2
1580,sợ thế,3
27019,xem từ lúc a gửi nma_h xem_lại vẫn sợ vl,3
19452,mong phạt nặng hết tất_cả đám này,1
10872,k,0
1364,xào chua ngọt,4
7119,các ông nước mình hay nhỉ lấy thuốc_nổ bom địch để đánh tụi nó,1
2610,nó thích thì nó làm thôi hj,0
19396,phải răng đê cho bọn trẻ nó sợ,3
8011,phải thế,4
23377,èo,1
14965,hết hồn thật,3
8743,hướng nội đến cuối đời còn lại,2
23124,ở đâu vậy bạn ơi lâu chưa vậy,4
20676,đúng kiểu chờ cháy rụi cho dễ dập,1
13346,tọc,4
9695,mì ୨୧ quê dùm,1
20675,nổ như bom vậy á,3
5530,chỉ sợ ổng bị uốn_ván hoặc trong cây kéo có bệnh gì đấy th,3
1119,má ơi còn cây kéo trên lưng luôn má,3
24397,đợi cứu hỏa tới là cháy mẹ ht luôn,1
27670,dịch rồi mà_còn mất nhà_khổ thật,2
20638,mấy đứa đang ngủ bên khách_sạn kiểu,0
1772,đúng xui luon,2
22930,đang dịch mà bị dầy trắng_tay,2
21804,sợ thiệt,3
21064,thấy người ta gặp sự_cố k tới giúp mà_còn đứng đó quay thật đáng lên_án,1
4269,sợ thế,3
28288,thế còn người trong hai nhà lân_cận thì sao,4
26752,cưu hoa đau hết rồi,2
21454,nể máy chiếc xe thật ở đó luôn mà k ai dắt đi chỗ khác vẫn còn tâm_trạng quay video,1
22541,nhà của mình bán gas,0
18512,mức phạt vẫn nhẹ vì con ngta nuôi bnh công_sức đến ngày hái_quả thì quả kh còn có phải con ruồi con muỗi đâu mà mức phạt như_vậy,2
25174,cháy nhà ở đâu vậy bạn,4
3303,anh đóa có sao hong dị_chú kia_nua nhìn tội vá,2
26696,trơi ơ tôi nghiêp qua nam mô_a di_đa phât,4
15560,gửi đến ba_mẹ những người_hùng thầm_lặng,0
28500,đang ung_dung trên trời đạp mây xanh hnay xuống chơi hnay tao hơi bùn thấy tụi bây cũng đang thảnh_thơi,2
10816,lớp tợp chi,4
6426,phim có hỗ_trợ của bqp thì phải xe thiệt_lun,1
28037,sợ vãi,3
18420,bản_án quá nhẹ phải phạt thật nặng bọn này,1
2281,100 chơi mai sáng,0
26190,làm_sao mà bất_cẩn_thế mât nhiều không có ai sao không,1
22042,sao ko ai báo điện_lực có cháy nổ để cắt điện sớm hơn,2
25304,xe cứu hỏa đâu,3
25197,1 năm đầy đau_thương và mất_mát,2
22576,kiếp này thôi bỏ,2
15374,hồn bay_phách lạc,0
20402,biết là sợ nhưng xem cuốn vcl,3
19250,người mất_mát lớn nhất đau_lòng nhất cũng là cha_mẹ,2
5771,chạy về nơi phía anh,0
16658,cho mấy ông leo lên mấy ông chịu hong mà làm v,1
6477,lúc 4 tuổi là tui ở địa_đạo 8 năm với mẹ rồi cả nhà tui theo cách_mạng ông nội hy_sinh mất xác lúc đánh_pháp bà nội thì mất lúc ở lại cản_địa cho ba và 2 chú chạy nhà và tài_sản thì bị đốt đất thì tá điền lấy nên cả nhà tui phải ở dưới hầm và dựng chòi trong rừng nghĩ_lại vẫn còn sợ,2
25734,gần siêu_thị thành_công,0
24817,mất 2 khách sạng ko làm j cũng mất,2
6688,giờ mới mất điện thôi đã nhược_hết cả lên rồi k,2
13770,gái 9 tui kiu đi_đi k_chịu nghe_đâu dừng làm j,1
27658,trời ơi đau_lòng quá,2
14090,mấy thằng này trên núi à,1
2183,ai mà biết trên hung_khí có bôi gì lên không trời,3
28033,cháy lan qua fpt là có chuyện lun á,3
20815,ở đâu vậy b,4
10808,mấy thằng ko đi học ko đi làm thì chỉ có_thể là loại này,1
